Lemma,Artikel,Plural,Präsens,Präteritum,Hilfsverb,Partizip
Arbeitsablauf,der,ä-e,,,,
Arbeitsergebnis,das,-se,,,,
Arbeitsform,die,-en,,,,
arbeitsintensiv,,,,,,
Arbeitsklima,das,,,,,
Arbeitskollege,der,-n,,,,
Arbeitskraft,die,ä-e,,,,
Arbeitsleben,das,,,,,
Arbeitslosenquote,die,-n,,,,
Arbeitsmarkt,der,ä-e,,,,
Arbeitsplatzmodell,das,-e,,,,
Arbeitsraum,der,ä-e,,,,
arbeitsunfähig,,,,,,
Arbeitsverhältnis,das,-se,,,,
Arbeitsvertrag,der,ä-e,,,,
Arbeitsweise,die,-n,,,,
Arbeitszimmer,das,-,,,,
archaisch,,,,,,
Architekturstudium,das,-studien,,,,
Areal,das,-e,,,,
Argument,das,-e,,,,
Argumentation,die,-en,,,,
Arzneimittel,das,-,,,,
Ärztemangel,der,,,,,
Arzttermin,der,-e,,,,
Asche,die,,,,,
Assessment Center,das,-,,,,
Assistent,der,-en,,,,
atemberaubend,,,,,,
Attacke,die,-n,,,,
attackieren,,,attackiert,attackierte,hat,attackiert
Au-pair-Mädchen,das,-,,,,
Aufbau,der,,,,,
aufbessern,,,bessert auf,besserte auf,hat,aufgebessert
aufbewahren,,,bewahrt auf,bewahrte auf,hat,aufbewahrt
aufbringen,,,bringt auf,brachte auf,hat,aufgebracht
aufdecken,,,deckt auf,deckte auf,hat,aufgedeckt
aufdrehen,,,dreht auf,drehte auf,hat,aufgedreht
aufeinandertreffen,,,trifft aufeinander,traf aufeinander,ist,aufeinandergetroffen
Auffassung,die,-en,,,,
aufgeben,,,gibt auf,gab auf,hat,aufgegeben
aufgedunsen,,,,,,
aufgehoben,,,,,,
aufgeregt,,,,,,
aufgerichtet,,,,,,
aufgießen,,,gießt auf,goss auf,hat,aufgegossen
aufgreifen,,,greift auf,griff auf,hat,aufgegriffen
Aufklärung,die,,,,,
aufkleben,,,klebt auf,klebte auf,hat,aufgeklebt
aufkochen,,,kocht auf,kochte auf,hat,aufgekocht
aufleuchten,,,leuchtet auf,leuchtete auf,hat,aufgeleuchtet
Auflösung,die,-en,,,,
Aufmerksamkeit,die,,,,,
Aufnahme,die,-n,,,,
Aufnahmeprüfung,die,-en,,,,
aufnehmen,,,nimmt auf,nahm auf,hat,aufgenommen
aufraffen,,,rafft auf,raffte auf,hat,aufgerafft
aufrecht,,,,,,
aufrechterhalten,,,erhält aufrecht,erhielt aufrecht,hat,aufrechterhalten
aufregend,,,,,,
Aufregung,die,-en,,,,
Aufsatz,der,ä-e,,,,
aufschieben,,,schiebt auf,schob auf,hat,aufgeschoben
aufschlussreich,,,,,,
Aufsicht,die,,,,,
aufspringen,,,springt auf,sprang auf,ist,aufgesprungen
aufsteigen,,,steigt auf,stieg auf,ist,aufgestiegen
aufstellen,,,stellt auf,stellte auf,hat,aufgestellt
Aufstiegschance,die,-n,,,,
Aufstrich,der,-e,,,,
aufsuchen,,,sucht auf,suchte auf,hat,aufgesucht
auftauchen,,,taucht auf,tauchte auf,ist,aufgetaucht
aufteilen,,,teilt auf,teilte auf,hat,aufgeteilt
auftreten,,,tritt auf,trat auf,ist,aufgetreten
auftun,,,tut auf,tat auf,hat,aufgetan
aufwachsen,,,wächst auf,wuchs auf,ist,aufgewachsen
aufwärmen,,,wärmt auf,wärmte auf,hat,aufgewärmt
aufwerfen,,,wirft auf,warf auf,hat,aufgeworfen
aufzeichnen,,,zeichnet auf,zeichnete auf,hat,aufgezeichnet
aufzeigen,,,zeigt auf,zeigte auf,hat,aufgezeigt
aufziehen,,,zieht auf,zog auf,hat,aufgezogen
Auge,das,-n,,,,
ausarbeiten,,,arbeitet aus,arbeitete aus,hat,ausgearbeitet
Ausbau,der,,,,,
ausbilden,,,bildet aus,bildete aus,hat,ausgebildet
Ausblick,der,-e,,,,
ausbrechen,,,bricht aus,brach aus,ist,ausgebrochen
ausbügeln,,,bügelt aus,bügelte aus,hat,ausgebügelt
Ausdauer,die,,,,,
Ausdehnung,die,-en,,,,
ausdenken,,,denkt aus,dachte aus,hat,ausgedacht
ausdrücken,,,drückt aus,drückte aus,hat,ausgedrückt
ausdrücklich,,,,,,
auseinanderhalten,,,hält auseinander,hielt auseinander,hat,auseinandergehalten
Auseinandersetzung,die,-en,,,,
ausfallen,,,fällt aus,fiel aus,ist,ausgefallen
ausfeilen,,,feilt aus,feilte aus,hat,ausgefeilt
ausführen,,,führt aus,führte aus,hat,ausgeführt
ausführlich,,,,,,
ausgeglichen,,,,,,
ausgehen,,,geht aus,ging aus,ist,ausgegangen
ausgenutzt,,,,,,
ausgereift,,,,,,
ausgeschlossen,,,,,,
ausgesetzt,,,,,,
Ausgleich,der,-e,,,,
Ausgrenzung,die,-en,,,,
aushalten,,,hält aus,hielt aus,hat,ausgehalten
auskennen,,,kennt aus,kannte aus,hat,ausgekannt
auskommen,,,kommt aus,kam aus,ist,ausgekommen
auslachen,,,lacht aus,lachte aus,hat,ausgelacht
Ausläufer,der,-,,,,
Auslaufmodell,das,-e,,,,
auslegen,,,legt aus,legte aus,hat,ausgelegt
Auslese,die,,,,,
auslesen,,,liest aus,las aus,hat,ausgelesen
ausloggen,,,loggt aus,loggte aus,hat,ausgeloggt
Auslöser,der,-,,,,
ausmachen,,,macht aus,machte aus,hat,ausgemacht
ausmisten,,,mistet aus,mistete aus,hat,ausgemistet
ausprägen,,,prägt aus,prägte aus,hat,ausgeprägt
ausräumen,,,räumt aus,räumte aus,hat,ausgeräumt
ausreißen,,,reißt aus,riss aus,ist,ausgerissen
ausschlaggebend,,,,,,
Ausschluss,der,ü-e,,,,
ausschöpfen,,,schöpft aus,schöpfte aus,hat,ausgeschöpft
Ausschuss,der,ü-e,,,,
ausschütten,,,schüttet aus,schüttete aus,hat,ausgeschüttet
außergewöhnlich,,,,,,
äußerst,,,,,,
Äußerung,die,-en,,,,
ausstatten,,,stattet aus,stattete aus,hat,ausgestattet
ausstehen,,,steht aus,stand aus,hat,ausgestanden
Ausstellungshaus,das,ä-er,,,,
ausstrahlen,,,strahlt aus,strahlte aus,hat,ausgestrahlt
Ausstrahlung,die,,,,,
Austausch,der,ä-e,,,,
ausüben,,,übt aus,übte aus,hat,ausgeübt
Ausweg,der,-e,,,,
auszahlen,,,zahlt aus,zahlte aus,hat,ausgezahlt
Auszeichnung,die,-en,,,,
Auszeit,die,-en,,,,
authentisch,,,,,,
Autismus,der,,,,,
automatisieren,,,automatisiert,automatisierte,hat,automatisiert
autoritär,,,,,,
Autorität,die,-en,,,,
ayurvedisch,,,,,,
Backe,die,-n,,,,
Backsteinhaus,das,ä-er,,,,
Badehose,die,-n,,,,
Bademantel,der,ä-,,,,
Bahnübergang,der,ä-e,,,,
Ballast,der,,,,,
Ballaststoff,der,-e,,,,
Ballung,die,-en,,,,
Ballungsgebiet,das,-e,,,,
Bandbreite,die,-n,,,,
Bankenskandal,der,-e,,,,
Banker,der,-,,,,
Bankkarte,die,-n,,,,
Banküberfall,der,ä-e,,,,
Barbar,der,-en,,,,
barfuß,,,,,,
basieren,,,basiert,basierte,hat,basiert
Basis,die,,,,,
Basisinformation,die,-en,,,,
baumeln,,,baumelt,baumelte,hat,gebaumelt
beachtenswert,,,,,,
Becken,das,-,,,,
bedenken,,,bedenkt,bedachte,hat,bedacht
bedenkenlos,,,,,,
bedenklich,,,,,,
Bedenkzeit,die,-en,,,,
bedingt,,,,,,
Bedrohung,die,-en,,,,
bedürfen,,,bedarf,bedurfte,hat,bedurft
bedürftig,,,,,,
beeindrucken,,,beeindruckt,beeindruckte,hat,beeindruckt
beeindruckend,,,,,,
Beerdigung,die,-en,,,,
Befindlichkeit,die,-en,,,,
befreien,,,befreit,befreite,hat,befreit
befremden,,,befremdet,befremdete,hat,befremdet
Befürchtung,die,-en,,,,
befürworten,,,befürwortet,befürwortete,hat,befürwortet
begabt,,,,,,
Begabte,der/die,-n,,,,
begehen,,,begeht,beging,hat,begangen
begehrt,,,,,,
begeistern,,,begeistert,begeisterte,hat,begeistert
Begeisterungsfähigkeit,die,,,,,
beglückt,,,,,,
begreifen,,,begreift,begriff,hat,begriffen
behalten,,,behält,behielt,hat,behalten
behandeln,,,behandelt,behandelte,hat,behandelt
Behandlung,die,-en,,,,
beharren,,,beharrt,beharrte,hat,beharrt
beharrlich,,,,,,
beheben,,,behebt,behob,hat,behoben
Behebung,die,-en,,,,
beheizen,,,beheizt,beheizte,hat,beheizt
beherbergen,,,beherbergt,beherbergte,hat,beherbergt
beherrschen,,,beherrscht,beherrschte,hat,beherrscht
Behinderung,die,-en,,,,
Behördengang,der,ä-e,,,,
beibringen,,,bringt bei,brachte bei,hat,beigebracht
beinhalten,,,beinhaltet,beinhaltete,hat,beinhaltet
Beirat,der,ä-e,,,,
beispielhaft,,,,,,
beitreten,,,tritt bei,trat bei,ist,beigetreten
bekanntlich,,,,,,
beklagen,,,beklagt,beklagte,hat,beklagt
bekritzeln,,,bekritzelt,bekritzelte,hat,bekritzelt
belastbar,,,,,,
Belastbarkeit,die,,,,,
belastet,,,,,,
belästigen,,,belästigt,belästigte,hat,belästigt
Belastung,die,-en,,,,
belegen,,,belegt,belegte,hat,belegt
belesen,,,,,,
Beliebtheit,die,,,,,
Beliebtheitsskala,die,-skalen,,,,
Belletristik,die,,,,,
belohnen,,,belohnt,belohnte,hat,belohnt
Belohnung,die,-en,,,,
bemerkenswert,,,,,,
Bemerkung,die,-en,,,,
benachteiligen,,,benachteiligt,benachteiligte,hat,benachteiligt
Benefizkonzert,das,-e,,,,
Beobachter,der,-,,,,
Beratungsgespräch,das,-e,,,,
Beratungsstelle,die,-n,,,,
bereichern,,,bereichert,bereicherte,hat,bereichert
Bereitstellung,die,,,,,
Bergbau,der,,,,,
Berufsausbildungsstätte,die,-n,,,,
berufsbegleitend,,,,,,
Berufseinsteiger,der,-,,,,
Berufserfahrung,die,-en,,,,
Berufskontext,der,-e,,,,
Berufslaufbahn,die,-en,,,,
Berufspraxis,die,,,,,
Berufsschulabschluss,der,ü-e,,,,
Berufstätige,der/die,-n,,,,
beruhen,,,beruht,beruhte,hat,beruht
beruhigend,,,,,,
Beruhigungssauger,der,-,,,,
berühren,,,berührt,berührte,hat,berührt
besagen,,,besagt,besagte,hat,besagt
beschädigt,,,,,,
Beschädigung,die,-en,,,,
Beschaffenheit,die,-en,,,,
beschäftigen,,,beschäftigt,beschäftigte,hat,beschäftigt
Beschäftigte,der/die,-n,,,,
bescheiden,,,,,,
beschenken,,,beschenkt,beschenkte,hat,beschenkt
bescheren,,,beschert,bescherte,hat,beschert
Beschwerde,die,-n,,,,
Beschwerdebrief,der,-e,,,,
beseitigen,,,beseitigt,beseitigte,hat,beseitigt
Beseitigung,die,,,,,
Besitzer,der,-,,,,
Besonderheit,die,-en,,,,
Bestand,der,ä-e,,,,
Bestandsaufnahme,die,-n,,,,
bestärken,,,bestärkt,bestärkte,hat,bestärkt
bestehen,,,besteht,bestand,hat,bestanden
Bestimmung,die,-en,,,,
Bestseller,der,-,,,,
Bestsellerliste,die,-n,,,,
betätigen,,,betätigt,betätigte,hat,betätigt
Beteiligte,der/die,-n,,,,
Beteiligung,die,-en,,,,
beteuern,,,beteuert,beteuerte,hat,beteuert
betrachten,,,betrachtet,betrachtete,hat,betrachtet
betreffend,,,,,,
betreiben,,,betreibt,betrieb,hat,betrieben
