Lemma,Artikel,Plural,Präsens,Präteritum,Hilfsverb,Partizip
drohen,,,droht,drohte,hat,gedroht
drohen,,,droht,drohte,hat,gedroht
drohend,,,,,,
drohend,,,,,,
drucken,,,druckt,druckte,hat,gedruckt
drucken,,,druckt,druckte,hat,gedruckt
dummerweise,,,,,,
dummerweise,,,,,,
Dummheit,die,-en,,,,
Dummheit,die,-en,,,,
düngen,,,düngt,düngte,hat,gedüngt
düngen,,,düngt,düngte,hat,gedüngt
Dünger,der,-,,,,
Dünger,der,-,,,,
Erholungsmöglichkeit,die,-en,,,,
Erholungsmöglichkeit,die,-en,,,,
Erholungsphase,die,-n,,,,
Erholungsphase,die,-n,,,,
erkennbar,,,,,,
erkennbar,,,,,,
Erkenntnis,die,-se,,,,
Erkenntnis,die,-se,,,,
Erklärungsversuch,der,-e,,,,
Erklärungsversuch,der,-e,,,,
erklimmen,,,erklimmt,erklomm,hat,erklommen
erklimmen,,,erklimmt,erklomm,hat,erklommen
Erkrankung,die,-en,,,,
Erkrankung,die,-en,,,,
erlassen,,,erlässt,erließ,hat,erlassen
erlassen,,,erlässt,erließ,hat,erlassen
erlaubterweise,,,,,,
erlaubterweise,,,,,,
erläutern,,,erläutert,erläuterte,hat,erläutert
erläutern,,,erläutert,erläuterte,hat,erläutert
Erläuterung,die,-en,,,,
Erläuterung,die,-en,,,,
Erleichterung,die,-en,,,,
Erleichterung,die,-en,,,,
erlernen,,,erlernt,erlernte,hat,erlernt
erlernen,,,erlernt,erlernte,hat,erlernt
erlesen,,,,,,
erlesen,,,,,,
erliegen,,,erliegt,erlag,hat,erlegen
erliegen,,,erliegt,erlag,hat,erlegen
ermitteln,,,ermittelt,ermittelte,hat,ermittelt
ermitteln,,,ermittelt,ermittelte,hat,ermittelt
Ermittler,der,-,,,,
Ermittler,der,-,,,,
ermuntern,,,ermuntert,ermunterte,hat,ermuntert
ermuntern,,,ermuntert,ermunterte,hat,ermuntert
Ernährungsstil,der,-e,,,,
Ernährungsstil,der,-e,,,,
ernennen,,,ernennt,ernannte,hat,ernannt
ernennen,,,ernennt,ernannte,hat,ernannt
erneuern,,,erneuert,erneuerte,hat,erneuert
erneuern,,,erneuert,erneuerte,hat,erneuert
ernten,,,erntet,erntete,hat,geerntet
ernten,,,erntet,erntete,hat,geerntet
erobern,,,erobert,eroberte,hat,erobert
erobern,,,erobert,eroberte,hat,erobert
erpressen,,,erpresst,erpresste,hat,erpresst
erpressen,,,erpresst,erpresste,hat,erpresst
Erpressung,die,-en,,,,
Erpressung,die,-en,,,,
erregen,,,erregt,erregte,hat,erregt
erregen,,,erregt,erregte,hat,erregt
erreichbar,,,,,,
erreichbar,,,,,,
Erreichbarkeit,die,,,,,
Erreichbarkeit,die,,,,,
erschauern,,,erschauert,erschauerte,hat,erschauert
erschauern,,,erschauert,erschauerte,hat,erschauert
erscheinen,,,erscheint,erschien,ist,erschienen
erscheinen,,,erscheint,erschien,ist,erschienen
erschließen,,,erschließt,erschloss,hat,erschlossen
erschließen,,,erschließt,erschloss,hat,erschlossen
erschwinglich,,,,,,
erschwinglich,,,,,,
Erstellung,die,,,,,
Erstellung,die,,,,,
erstmals,,,,,,
erstmals,,,,,,
ertönen,,,ertönt,ertönte,hat,ertönt
ertönen,,,ertönt,ertönte,hat,ertönt
Ertrag,der,-e,,,,
Ertrag,der,-e,,,,
Erwartung,die,-en,,,,
Erwartung,die,-en,,,,
erweisen,,,erweist,erwies,hat,erwiesen
erweisen,,,erweist,erwies,hat,erwiesen
erweitern,,,erweitert,erweiterte,hat,erweitert
erweitern,,,erweitert,erweiterte,hat,erweitert
Erweiterung,die,-en,,,,
Erweiterung,die,-en,,,,
Erwerb,der,,,,,
Erwerb,der,,,,,
erwirtschaften,,,erwirtschaftet,erwirtschaftete,hat,erwirtschaftet
erwirtschaften,,,erwirtschaftet,erwirtschaftete,hat,erwirtschaftet
erzeugen,,,erzeugt,erzeugte,hat,erzeugt
erzeugen,,,erzeugt,erzeugte,hat,erzeugt
Erziehungsbuch,das,-er,,,,
Erziehungsbuch,das,-er,,,,
Erziehungsexperte,der,-n,,,,
Erziehungsexperte,der,-n,,,,
erzielen,,,erzielt,erzielte,hat,erzielt
erzielen,,,erzielt,erzielte,hat,erzielt
Essverhalten,das,,,,,
Essverhalten,das,,,,,
etablieren,,,etabliert,etablierte,hat,etabliert
etablieren,,,etabliert,etablierte,hat,etabliert
Etappenziel,das,-e,,,,
Etappenziel,das,-e,,,,
etliche,,,,,,
etliche,,,,,,
europaweit,,,,,,
europaweit,,,,,,
Eventmanager,der,-,,,,
Eventmanager,der,-,,,,
Evolution,die,,,,,
Evolution,die,,,,,
Evolutionspsychologe,der,-n,,,,
Evolutionspsychologe,der,-n,,,,
Ewigkeit,die,-en,,,,
Ewigkeit,die,-en,,,,
Exemplar,das,-e,,,,
Exemplar,das,-e,,,,
exotisch,,,,,,
exotisch,,,,,,
explizit,,,,,,
explizit,,,,,,
exportieren,,,exportiert,exportierte,hat,exportiert
exportieren,,,exportiert,exportierte,hat,exportiert
Extra,das,-s,,,,
Extra,das,-s,,,,
Extremsituation,die,-en,,,,
Extremsituation,die,-en,,,,
exzessiv,,,,,,
exzessiv,,,,,,
fachlich,,,,,,
fachlich,,,,,,
Fachschulabschluss,der,-e,,,,
Fachschulabschluss,der,-e,,,,
Fachtext,der,-e,,,,
Fachtext,der,-e,,,,
Fachunterricht,der,,,,,
Fachunterricht,der,,,,,
Fachwissen,das,,,,,
Fachzeitschrift,die,-en,,,,
Fahndung,die,-en,,,,
Fahrerflucht,die,,,,,
fahrig,,,,,,
Fahrradkette,die,-n,,,,
Fakt,der,-en,,,,
Faktenwissen,das,,,,,
Fakultät,die,-en,,,,
fallen,,,fällt,fiel,ist,gefallen
Fälligkeit,die,-en,,,,
Falsche-Hoffnung-Syndrom,das,,,,,
Fälschung,die,-en,,,,
falten,,,faltet,faltete,hat,gefaltet
Familienalltag,der,,,,,
Familiendrama,das,-dramen,,,,
Familiengeschichte,die,-n,,,,
fanatisch,,,,,,
Fanclub,der,-s,,,,
farblich,,,,,,
fassen,,,fasst,fasste,hat,gefasst
faszinieren,,,fasziniert,faszinierte,hat,fasziniert
fatal,,,,,,
Fauxpas,der,-s,,,,
Feedback,das,-s,,,,
Fehlkalkulation,die,-en,,,,
Fehlschlag,der,-e,,,,
Fehlstellung,die,-en,,,,
Fell,das,-e,,,,
Ferienzeit,die,-en,,,,
Fernsehkonsum,der,,,,,
Fertigware,die,-n,,,,
Festanstellung,die,-en,,,,
festhalten,,,hält fest,hielt fest,hat,festgehalten
Festivalauftritt,der,-e,,,,
Festnahme,die,-n,,,,
Feststellung,die,-en,,,,
feuern,,,feuert,feuerte,hat,gefeuert
feuern,,,feuert,feuerte,hat,gefeuert
Feuerwerk,das,-e,,,,
Feuerwerk,das,-e,,,,
Filiale,die,-n,,,,
Filiale,die,-n,,,,
Filter,der,-,,,,
Filter,der,-,,,,
filtern,,,filtert,filterte,hat,gefiltert
filtern,,,filtert,filterte,hat,gefiltert
finanzierbar,,,,,,
finanzierbar,,,,,,
Finanzierer,der,-,,,,
Finanzierer,der,-,,,,
Finanzierung,die,-en,,,,
Finanzierung,die,-en,,,,
Finanzierungsinstitut,das,-e,,,,
Finanzierungsinstitut,das,-e,,,,
Finanzierungsmöglichkeit,die,-en,,,,
Finanzierungsmöglichkeit,die,-en,,,,
Finanzierungsplan,der,-e,,,,
Finanzierungsplan,der,-e,,,,
findig,,,,,,
findig,,,,,,
Fingerspitze,die,-n,,,,
Fingerspitze,die,-n,,,,
Firmament,das,-e,,,,
Firmament,das,-e,,,,
firmeneigen,,,,,,
firmeneigen,,,,,,
Firmengruppe,die,-n,,,,
Firmengruppe,die,-n,,,,
flächendeckend,,,,,,
flächendeckend,,,,,,
Flaschenhals,der,-e,,,,
Flaschenhals,der,-e,,,,
Fleck,der,-en,,,,
Fleck,der,-en,,,,
Fleischpreis,der,-e,,,,
Fleischpreis,der,-e,,,,
Fleischverarbeiter,der,-,,,,
Fleischverarbeiter,der,-,,,,
Flexibilität,die,,,,,
Flexibilität,die,,,,,
Flitterwochen,die,Pl.,,,,
Flitterwochen,die,Pl.,,,,
floskelhaft,,,,,,
floskelhaft,,,,,,
flottmachen,,,macht flott,machte flott,hat,flottgemacht
flottmachen,,,macht flott,machte flott,hat,flottgemacht
flüssig,,,,,,
flüssig,,,,,,
Flut,die,-en,,,,
Flut,die,-en,,,,
Folge,die,-n,,,,
Folge,die,-n,,,,
folgern,,,folgert,folgerte,hat,gefolgert
folgern,,,folgert,folgerte,hat,gefolgert
fördern,,,fördert,förderte,hat,gefördert
fördern,,,fördert,förderte,hat,gefördert
Forderung,die,-en,,,,
Forderung,die,-en,,,,
Förderunterricht,der,,,,,
Förderunterricht,der,,,,,
Formel,die,-n,,,,
Formel,die,-n,,,,
formell,,,,,,
formell,,,,,,
formen,,,formt,formte,hat,geformt
formen,,,formt,formte,hat,geformt
forschen,,,forscht,forschte,hat,geforscht
forschen,,,forscht,forschte,hat,geforscht
Forscher,der,-,,,,
Forscher,der,-,,,,
Forschungsauftrag,der,-e,,,,
Forschungsauftrag,der,-e,,,,
Forschungsergebnis,das,-se,,,,
Forschungsergebnis,das,-se,,,,
Forschungsfrage,die,-n,,,,
Forschungsgegenstand,der,-e,,,,
Forschungsinstitut,das,-e,,,,
Forschungsprojekt,das,-e,,,,
fortan,,,,,,
Fortgang,der,-e,,,,
Fortgang,der,-e,,,,
fragil,,,,,,
fragil,,,,,,
fragwürdig,,,,,,
fragwürdig,,,,,,
freinehmen,,,nimmt frei,nahm frei,hat,freigenommen
freinehmen,,,nimmt frei,nahm frei,hat,freigenommen
Freiraum,der,-e,,,,
Freiraum,der,-e,,,,
Freisprechanlage,die,-n,,,,
Freisprechanlage,die,-n,,,,
Freistoß,der,-e,,,,
Freistoß,der,-e,,,,
Freiwilligendienst,der,-e,,,,
Freiwilligendienst,der,-e,,,,
Fremdfinanzierung,die,-en,,,,
Fremdfinanzierung,die,-en,,,,
Fremdkapital,das,,,,,
Fremdkapital,das,,,,,
Fremdsprachenkenntnisse,die,Pl.,,,,
Fremdsprachenkenntnisse,die,Pl.,,,,
Freude,die,-n,,,,
Freude,die,-n,,,,
Freundeskreis,der,-e,,,,
Freundeskreis,der,-e,,,,
friedlich,,,,,,
friedlich,,,,,,
Frontallappen,der,-,,,,
Frontallappen,der,-,,,,
Frontbericht,der,-e,,,,
Frontbericht,der,-e,,,,
frühzeitig,,,,,,
frühzeitig,,,,,,
Frust,der,,,,,
Frust,der,,,,,
Fügung,die,-en,,,,
Fügung,die,-en,,,,
führen,,,führt,führte,hat,geführt
führen,,,führt,führte,hat,geführt
Führungskompetenz,die,-en,,,,
Führungskompetenz,die,-en,,,,
Führungskraft,die,-e,,,,
Führungskraft,die,-e,,,,
Führungsstil,der,-e,,,,
Führungsstil,der,-e,,,,
füllen,,,füllt,füllte,hat,gefüllt
füllen,,,füllt,füllte,hat,gefüllt
Füllsel,das,-,,,,
Füllsel,das,-,,,,
Funk,der,,,,,
Funk,der,,,,,
funkeln,,,funkelt,funkelte,hat,gefunkelt
funkeln,,,funkelt,funkelte,hat,gefunkelt
Funksignal,das,-e,,,,
Funksignal,das,-e,,,,
fürchten,,,fürchtet,fürchtete,hat,gefürchtet
fürchten,,,fürchtet,fürchtete,hat,gefürchtet
Fusion,die,-en,,,,
Fusion,die,-en,,,,
Fußbad,das,-er,,,,
Fußbad,das,-er,,,,
Fußballmatch,das,-s,,,,
Fußballtrick,der,-s,,,,
Fußboden,der,-,,,,
Fußgelenk,das,-e,,,,
Fußsohle,die,-n,,,,
Futter,das,-,,,,
gähnen,,,gähnt,gähnte,hat,gegähnt
galoppieren,,,galoppiert,galoppierte,hat,galoppiert
Gang,der,-e,,,,
gängig,,,,,,
Garant,der,-en,,,,
Gastprofessur,die,-en,,,,
Gaumen,der,-,,,,
gaumenfreundlich,,,,,,
geben,,,gibt,gab,hat,gegeben
Geborgenheit,die,,,,,
Gedächtnishilfe,die,-n,,,,
Gedächtnislücke,die,-n,,,,
Gedächtnisstütze,die,-n,,,,
Gedächtnistyp,der,-en,,,,
Gedanke,der,-n,,,,
gedankenversunken,,,,,,
gedanklich,,,,,,
Gefahr,die,-en,,,,
gefährden,,,gefährdet,gefährdete,hat,gefährdet
gefährdet,,,,,,
Gefährt,das,-en,,,,
Gefallen,der,-,,,,
gefragt,,,,,,
Gefühl,das,-e,,,,
gefühlt,,,,,,
gegebenenfalls,,,,,,
Gegensatz,der,-e,,,,
gegensteuern,,,gegensteuert,gegensteuerte,hat,gegengesteuert
Gegenverkehr,der,,,,,
Gegenzug,der,-e,,,,
gehen,,,geht,ging,ist,gegangen
Gehirn,das,-e,,,,
Gehirnareal,das,-e,,,,
Gehirnhälfte,die,-n,,,,
Gehör,das,-e,,,,
Geige,die,-n,,,,
Geist,der,-er,,,,
geisterhaft,,,,,,
geistesgegenwärtig,,,,,,
geistig,,,,,,
Gelächter,das,-,,,,
Geländer,das,-,,,,
gelangen,,,gelangt,gelangte,ist,gelangt
gelangweilt,,,,,,
gelassen,,,,,,
Gelassenheit,die,,,,,
Geldmangel,der,,,,,
Geldschein,der,-e,,,,
Gelegenheit,die,-en,,,,
gelegentlich,,,,,,
Geleit,das,-e,,,,
Gemeinschaftskasse,die,-n,,,,
Gemeinschaftsraum,der,-e,,,,
Gemeinwohl,das,,,,,
Gen,das,-e,,,,
generell,,,,,,
genial,,,,,,
genießen,,,genießt,genoss,hat,genossen
Genre,das,-s,,,,
Gentechnik,die,-en,,,,
Genuss,der,-e,,,,
geografisch,,,,,,
geometrisch,,,,,,
geprägt,,,,,,
gerade,,,,,,
geraten,,,gerät,geriet,ist,geraten
Geräusch,das,-e,,,,
Gerichtsmediziner,der,-,,,,
Geringqualifizierte,der/die,-n,,,,
Gesagte,das,,,,,
Gesamtauflage,die,-n,,,,
Gesamtaussage,die,-n,,,,
Gesamtbevölkerung,die,-en,,,,
Gesamteindruck,der,-e,,,,
Gesamturteil,das,-e,,,,
Gesang,der,-e,,,,
Geschäftsessen,das,-,,,,
Geschäftsführer,der,-,,,,
Geschäftsidee,die,-n,,,,
Geschäftsleitung,die,-en,,,,
Geschehen,das,-,,,,
geschickt,,,,,,
Geschlechterrolle,die,-n,,,,
geschlechterspezifisch,,,,,,
geschlossen,,,,,,
geschwind,,,,,,
gesellen,,,gesellt,gesellte,hat,gesellt
Geselligkeit,die,,,,,
Gesellschaft,die,-en,,,,
gesellschaftlich,,,,,,
Gesetzesflut,die,,,,,
Gesetzeslücke,die,-n,,,,
Gesetzgeber,der,-,,,,
Gesetzgebung,die,-en,,,,
gesetzlich,,,,,,
Gesetzmäßigkeit,die,-en,,,,
Gespräch,das,-e,,,,
Gestaltung,die,-en,,,,
Gestik,die,-en,,,,
gestört,,,,,,
gestrig,,,,,,
Gesundheitsfaktor,der,-en,,,,
Gesundheitshandeln,das,,,,,
Gesundheitskonzept,das,-e,,,,
Gesundheitspolitik,die,,,,,
Gesundheitsprogramm,das,-e,,,,
Gesundheitssystem,das,-e,,,,
Gesundheitstest,der,-s,,,,
Gesundheitswesen,das,,,,,
Gesundheitszustand,der,,,,,
getrennt,,,,,,
getreulich,,,,,,
getrost,,,,,,
gewachsen,,,,,,
gewähren,,,gewährt,gewährte,hat,gewährt
gewaltsam,,,,,,
Gewicht,das,-e,,,,
Gewichtskontrolle,die,-n,,,,
Gewinn,der,-e,,,,
Gewinnbeteiligung,die,-en,,,,
gewinnen,,,gewinnt,gewann,hat,gewonnen
Gewinnler,der,-,,,,
gewiss,,,,,,
Gewissen,das,-,,,,
Gewissensbisse,die,Pl.,,,,
Gewissensfrage,die,-n,,,,
Gewohnheit,die,-en,,,,
Gift,das,-e,,,,
Glasdach,das,-er,,,,
gläsern,,,,,,
gleich,,,,,,
gleichen,,,gleicht,glich,hat,geglichen
Gleichgesinnte,der/die,-n,,,,
Gleichgewicht,das,,,,,
gleichgültig,,,,,,
Gleichmacherei,die,,,,,
gleichsetzen,,,gleichsetzt,gleichsetzte,hat,gleichgesetzt
Gleichzeitigkeit,die,,,,,
Gliederung,die,-en,,,,
Globalisierung,die,,,,,
Glotze,die,-n,,,,
Glücksbringer,der,-,,,,
glutenfrei,,,,,,
Grab,das,-er,,,,
Grad,der,-e,,,,
Graf,der,-en,,,,
grammatisch,,,,,,
Gremium,das,Gremien,,,,
Grenze,die,-n,,,,
grenzenlos,,,,,,
grob,,,,,,
Gros,das,,,,,
großartig,,,,,,
Großtante,die,-n,,,,
Großteil,der,-e,,,,
größtenteils,,,,,,
grübeln,,,grübelt,grübelte,hat,gegrübelt
Grundbedürfnis,das,-se,,,,
Gründer,der,-,,,,
Grundhaltung,die,-en,,,,
grundlegend,,,,,,
Grundproblem,das,-e,,,,
Grundrecht,das,-e,,,,
Grundsatz,der,-e,,,,
Grundstudium,das,,,,,
Grundvoraussetzung,die,-en,,,,
Gummi,der,-s,,,,
Gummibärchen,das,-,,,,
Gut,das,-er,,,,
Gutenachtkuss,der,-e,,,,
Guthaben,das,-,,,,
gutheißen,,,heißt gut,hieß gut,hat,gutgeheißen
gutmachen,,,macht gut,machte gut,hat,gutgemacht
guttun,,,tut gut,tat gut,hat,gutgetan
Haft,die,,,,,
Häkchen,das,-,,,,
häkeln,,,häkelt,häkelte,hat,gehäkelt
halbdunkel,,,,,,
halbherzig,,,,,,
halten,,,hält,hielt,hat,gehalten
Haltung,die,-en,,,,
Hand,die,-e,,,,
Handarbeit,die,-en,,,,
Handarbeitsbuch,das,-er,,,,
handeln,,,handelt,handelte,hat,gehandelt
Handeln,das,,,,,
handhaben,,,handhabt,handhabte,hat,gehandhabt
Handlungsanweisung,die,-en,,,,
Handout,das,-s,,,,
Handwerk,das,-e,,,,
Handwerksbetrieb,der,-e,,,,
Handysucht,die,,,,,
hängen,,,hängt,hing,hat,gehangen
Hass,der,,,,,
Häufigkeit,die,-en,,,,
Hauptbedeutung,die,-en,,,,
Hauptfaktor,der,-en,,,,
Hauptgrund,der,-e,,,,
Hauptinformation,die,-en,,,,
Hauptmieter,der,-,,,,
Hauptnachrichten,die,Pl.,,,,
Hauptsystem,das,-e,,,,
Haupttätigkeit,die,-en,,,,
Hausarbeit,die,-en,,,,
Hausarzt,der,-e,,,,
Hausetage,die,-n,,,,
Haushälterin,die,-nen,,,,
Hauskatze,die,-n,,,,
Hausmittel,das,-,,,,
Hausordnung,die,-en,,,,
Hausverwaltung,die,-en,,,,
Hauterkrankung,die,-en,,,,
hautnah,,,,,,
Hautschuppe,die,-n,,,,
hegen,,,hegt,hegte,hat,gehegt
heilen,,,heilt,heilte,hat,geheilt
Heilung,die,-en,,,,
Heim,das,-e,,,,
Heimatland,das,,,,,
Heimweg,der,-e,,,,
Heiratsschwindel,der,-,,,,
Heißluftballon,der,-s/-e,,,,
Hektar,der,-,,,,
Hektik,die,,,,,
hellblau,,,,,,
herangehen,,,geht heran,ging heran,ist,herangegangen
heranwachsen,,,wächst heran,wuchs heran,ist,herangewachsen
herausbekommen,,,bekommt heraus,bekam heraus,hat,herausbekommen
herausfiltern,,,filtert heraus,filterte heraus,hat,herausgefiltert
herausfließen,,,fließt heraus,floss heraus,ist,herausgeflossen
herauskommen,,,kommt heraus,kam heraus,ist,herausgekommen
herkömmlich,,,,,,
Herrenjahre,die,Pl.,,,,
herrichten,,,richtet her,richtete her,hat,hergerichtet
Herstellung,die,-en,,,,
herumirren,,,irrt herum,irrte herum,ist,herumgeirrt
herumreisen,,,reist herum,reiste herum,ist,herumgereist
herumstehen,,,steht herum,stand herum,ist,herumgestanden
hervorbringen,,,bringt hervor,brachte hervor,hat,hervorgebracht
hervorheben,,,hebt hervor,hob hervor,hat,hervorgehoben
Hervorhebung,die,-en,,,,
hervorstoßen,,,stößt hervor,stieß hervor,hat,hervorgestoßen
hervortun,,,tut hervor,tat hervor,hat,hervorgetan
Herz,das,-en,,,,
Herz-Kreislauf-Erkrankung,die,-en,,,,
herzhaft,,,,,,
Herzklopfen,das,,,,,
Heu,das,-e,,,,
heulen,,,heult,heulte,hat,geheult
heutig,,,,,,
heutzutage,,,,,,
Hierarchie,die,-n,,,,
hierbei,,,,,,
hierzu,,,,,,
Highlight,das,-s,,,,
Hilfe,die,-n,,,,
Hilfeleistung,die,-en,,,,
hilflos,,,,,,
Hilfskraft,die,-e,,,,
Himmelsrichtung,die,-en,,,,
hinauftragen,,,trägt hinauf,trug hinauf,hat,hinaufgetragen
hinausposaunen,,,posaunt hinaus,posaunte hinaus,hat,hinausposaunt
hinauswachsen,,,wächst hinaus,wuchs hinaus,ist,hinausgewachsen
hinauswollen,,,will hinaus,wollte hinaus,hat,hinausgewollt
Hinblick,der,,,,,
Hindernis,das,-se,,,,
hindeuten,,,deutet hin,deutete hin,hat,hingedeutet
hindurchgelangen,,,gelangt hindurch,gelangte hindurch,ist,hindurchgelangt
hineinleben,,,lebt hinein,lebte hinein,hat,hineingelebt
hineinschaufeln,,,schaufelt hinein,schaufelte hinein,hat,hineingeschaufelt
Hingabe,die,,,,,
hingegen,,,,,,
hingucken,,,guckt hin,guckte hin,hat,hingeguckt
Hinsicht,die,,,,,
hinsichtlich,,,,,,
hinterfragen,,,hinterfragt,hinterfragte,hat,hinterfragt
hinterfragen,,,hinterfragt,hinterfragte,hat,hinterfragt
Hintergrund,der,-e,,,,
Hintergrund,der,-e,,,,
hinunterspringen,,,springt hinunter,sprang hinunter,ist,hinuntergesprungen
hinunterspringen,,,springt hinunter,sprang hinunter,ist,hinuntergesprungen
hinwegsehen,,,sieht hinweg,sah hinweg,hat,hinweggesehen
hinwegsehen,,,sieht hinweg,sah hinweg,hat,hinweggesehen
hinzufügen,,,fügt hinzu,fügte hinzu,hat,hinzugefügt
hinzufügen,,,fügt hinzu,fügte hinzu,hat,hinzugefügt
hinzukommen,,,kommt hinzu,kam hinzu,ist,hinzugekommen
hinzukommen,,,kommt hinzu,kam hinzu,ist,hinzugekommen
Hirn,das,-e,,,,
Hirn,das,-e,,,,
Hirnareal,das,-e,,,,
Hirnareal,das,-e,,,,
Hirnforschung,die,-en,,,,
Hirnforschung,die,-en,,,,
Hirnscan,der,-s,,,,
Hirnscan,der,-s,,,,
Hirnteil,der,-e,,,,
Hirnteil,der,-e,,,,
Historiker,der,-,,,,
Historiker,der,-,,,,
Hitzefrei,das,,,,,
Hitzefrei,das,,,,,
hochbegabt,,,,,,
hochbegabt,,,,,,
Hochbegabung,die,-en,,,,
Hochbegabung,die,-en,,,,
Hochdeutsch,das,,,,,
Hochdeutsch,das,,,,,
hocheffektiv,,,,,,
hocheffektiv,,,,,,
hochkarätig,,,,,,
hochkarätig,,,,,,
Hochleistungsgerät,das,-e,,,,
Hochleistungsgerät,das,-e,,,,
hochschauen,,,schaut hoch,schaute hoch,hat,hochgeschaut
hochschauen,,,schaut hoch,schaute hoch,hat,hochgeschaut
Hochschulabschluss,der,-e,,,,
Hochschulabschluss,der,-e,,,,
Hochschulstudium,das,-studien,,,,
Hochschulstudium,das,-studien,,,,
Hochsommer,der,-,,,,
Hochsommer,der,-,,,,
Hochsprache,die,-n,,,,
Hochsprache,die,-n,,,,
Höchstgrenze,die,-n,,,,
Höchstgrenze,die,-n,,,,
Hochwasser,das,-,,,,
Hochwasser,das,-,,,,
hochwertig,,,,,,
hochwertig,,,,,,
Hofnarr,der,-en,,,,
Hofnarr,der,-en,,,,
holen,,,holt,holte,hat,geholt
holen,,,holt,holte,hat,geholt
Holzbrücke,die,-n,,,,
Holzbrücke,die,-n,,,,
Holzwerkstatt,die,-en,,,,
Holzwerkstatt,die,-en,,,,
Homeoffice,das,,,,,
Homeoffice,das,,,,,
Homöopathie,die,,,,,
Homöopathie,die,,,,,
Honorarprofessor,der,-en,,,,
Honorarprofessor,der,-en,,,,
honorieren,,,honoriert,honorierte,hat,honoriert
honorieren,,,honoriert,honorierte,hat,honoriert
Horizont,der,-e,,,,
Horizont,der,-e,,,,
Hotelpool,der,-s,,,,
Hotelpool,der,-s,,,,
Hotelzimmer,das,-,,,,
Hotelzimmer,das,-,,,,
hundeelend,,,,,,
hundeelend,,,,,,
hüpfen,,,hüpft,hüpfte,hat,gehüpft
hüpfen,,,hüpft,hüpfte,hat,gehüpft
Hutnadel,die,-n,,,,
Hutnadel,die,-n,,,,
Hysterie,die,-n,,,,
Hysterie,die,-n,,,,
Idee,die,-n,,,,
Idee,die,-n,,,,
ideenreich,,,,,,
ideenreich,,,,,,
Ideenreichtum,der,,,,,
Ideenreichtum,der,,,,,
identifizieren,,,identifiziert,identifizierte,hat,identifiziert
identifizieren,,,identifiziert,identifizierte,hat,identifiziert
Identifizierung,die,-en,,,,
Identifizierung,die,-en,,,,
identisch,,,,,,
identisch,,,,,,
Identität,die,-en,,,,
Identität,die,-en,,,,
Illusion,die,-en,,,,
Illusion,die,-en,,,,
Image,das,-s,,,,
Image,das,-s,,,,
Imbissbude,die,-n,,,,
Imbissbude,die,-n,,,,
immens,,,,,,
immens,,,,,,
Immigrant,der,-en,,,,
Immigrant,der,-en,,,,
implizit,,,,,,
implizit,,,,,,
imponieren,,,imponiert,imponierte,hat,imponiert
imponieren,,,imponiert,imponierte,hat,imponiert
Impuls,der,-e,,,,
Impuls,der,-e,,,,
Indikator,der,-en,,,,
Indikator,der,-en,,,,
indirekt,,,,,,
indirekt,,,,,,
individualisieren,,,individualisiert,individualisierte,hat,individualisiert
individualisieren,,,individualisiert,individualisierte,hat,individualisiert
Individualität,die,,,,,
Individualität,die,,,,,
industrialisieren,,,industrialisiert,industrialisierte,hat,industrialisiert
industrialisieren,,,industrialisiert,industrialisierte,hat,industrialisiert
Industrieland,das,-er,,,,
Industrieland,das,-er,,,,
Industrieware,die,-n,,,,
Industrieware,die,-n,,,,
Innovationsschub,der,-e,,,,
Innovationsschub,der,-e,,,,
innovativ,,,,,,
innovativ,,,,,,
insgeheim,,,,,,
insgeheim,,,,,,
insolvent,,,,,,
insolvent,,,,,,
Insolvenz,die,-en,,,,
Insolvenz,die,-en,,,,
Inspiration,die,-en,,,,
Inspiration,die,-en,,,,
inspirieren,,,inspiriert,inspirierte,hat,inspiriert
inspirieren,,,inspiriert,inspirierte,hat,inspiriert
inspirierend,,,,,,
inspirierend,,,,,,
instruieren,,,instruiert,instruierte,hat,instruiert
instruieren,,,instruiert,instruierte,hat,instruiert
integriert,,,,,,
integriert,,,,,,
Intellekt,der,-e,,,,
Intellekt,der,-e,,,,
Intendant,der,-en,,,,
Intendant,der,-en,,,,
interdisziplinär,,,,,,
interdisziplinär,,,,,,
Internetangebot,das,-e,,,,
Internetangebot,das,-e,,,,
Internetplattform,die,-en,,,,
Internetplattform,die,-en,,,,
Internetsucht,die,-e,,,,
Internetsucht,die,-e,,,,
intim,,,,,,
intim,,,,,,
ironisch,,,,,,
ironisch,,,,,,
ironisieren,,,ironisiert,ironisierte,hat,ironisiert
ironisieren,,,ironisiert,ironisierte,hat,ironisiert
Ironisierung,die,-en,,,,
Ironisierung,die,-en,,,,
irritiert,,,,,,
irritiert,,,,,,
Irrtum,der,-er,,,,
Irrtum,der,-er,,,,
IT-Branche,die,,,,,
IT-Branche,die,,,,,
jagen,,,jagt,jagte,hat,gejagt
jagen,,,jagt,jagte,hat,gejagt
Jahreswechsel,der,-,,,,
Jahreswechsel,der,-,,,,
Jahrgang,der,-e,,,,
Jahrgang,der,-e,,,,
Jammerlappen,der,-,,,,
Jammerlappen,der,-,,,,
jeweilig,,,,,,
jeweilig,,,,,,
Joghurt,der,-s,,,,
Joghurt,der,-s,,,,
Jubel,der,-,,,,
Jubel,der,-,,,,
Jugendalter,das,,,,,
Jugendalter,das,,,,,
Jugendfürsorge,die,,,,,
