Lemma,URL,Wortart,Genus,Artikel,nur_im_Plural
Arbeiter,https://www.dwds.de/wb/Arbeiter,Substantiv,mask.,der,0
Arbeiterin,https://www.dwds.de/wb/Arbeiterin,Substantiv,fem.,die,0
Arbeitserlaubnis,https://www.dwds.de/wb/Arbeitserlaubnis,Substantiv,fem.,die,0
Arbeitslosigkeit,https://www.dwds.de/wb/Arbeitslosigkeit,Substantiv,fem.,die,0
Arbeitsstelle,https://www.dwds.de/wb/Arbeitsstelle,Substantiv,fem.,die,0
Architekt,https://www.dwds.de/wb/Architekt,Substantiv,mask.,der,0
Architektin,https://www.dwds.de/wb/Architektin,Substantiv,fem.,die,0
Art,https://www.dwds.de/wb/Art,Substantiv,fem.,die,0
Asyl,https://www.dwds.de/wb/Asyl,Substantiv,neutr.,das,0
Atem,https://www.dwds.de/wb/Atem,Substantiv,mask.,der,0
atmen,https://www.dwds.de/wb/atmen,Verb,,,0
Au,https://www.dwds.de/wb/Au#3,Symbol,,,0
Aufenthalt,https://www.dwds.de/wb/Aufenthalt,Substantiv,mask.,der,0
auffallen,https://www.dwds.de/wb/auffallen,Verb,,,0
auffordern,https://www.dwds.de/wb/auffordern,Verb,,,0
Aufforderung,https://www.dwds.de/wb/Aufforderung,Substantiv,fem.,die,0
aufführen,https://www.dwds.de/wb/auff%C3%BChren,Verb,,,0
aufgeben,https://www.dwds.de/wb/aufgeben,Verb,,,0
aufhalten,https://www.dwds.de/wb/aufhalten,Verb,,,0
aufheben,https://www.dwds.de/wb/aufheben,Verb,,,0
aufladen,https://www.dwds.de/wb/aufladen,Verb,,,0
auflösen,https://www.dwds.de/wb/aufl%C3%B6sen,Verb,,,0
aufmerksam,https://www.dwds.de/wb/aufmerksam,Adjektiv,,,0
Aufnahme,https://www.dwds.de/wb/Aufnahme,Substantiv,fem.,die,0
aufnehmen,https://www.dwds.de/wb/aufnehmen,Verb,,,0
aufschreiben,https://www.dwds.de/wb/aufschreiben,Verb,,,0
Auftrag,https://www.dwds.de/wb/Auftrag,Substantiv,mask.,der,0
auftreten,https://www.dwds.de/wb/auftreten,Verb,,,0
Auftritt,https://www.dwds.de/wb/Auftritt,Substantiv,mask.,der,0
aufwachen,https://www.dwds.de/wb/aufwachen,Verb,,,0
aufwärts,https://www.dwds.de/wb/aufw%C3%A4rts,Adverb,,,0
Augenblick,https://www.dwds.de/wb/Augenblick,Substantiv,mask.,der,0
ausbilden,https://www.dwds.de/wb/ausbilden,Verb,,,0
Ausdruck,https://www.dwds.de/wb/Ausdruck#1,Substantiv,mask.,der,0
Ausdruck,https://www.dwds.de/wb/Ausdruck#2,Substantiv,mask.,der,0
ausdrucken,https://www.dwds.de/wb/ausdrucken,Verb,,,0
auseinander,https://www.dwds.de/wb/auseinander,Adverb,,,0
Ausfahrt,https://www.dwds.de/wb/Ausfahrt,Substantiv,fem.,die,0
ausfallen,https://www.dwds.de/wb/ausfallen,Verb,,,0
Ausgabe,https://www.dwds.de/wb/Ausgabe,Substantiv,fem.,die,0
ausgezeichnet,https://www.dwds.de/wb/ausgezeichnet,partizipiales Adjektiv,,,0
Aushilfe,https://www.dwds.de/wb/Aushilfe,Substantiv,fem.,die,0
Ausländerin,https://www.dwds.de/wb/Ausl%C3%A4nderin,Substantiv,fem.,die,0
Ausnahme,https://www.dwds.de/wb/Ausnahme,Substantiv,fem.,die,0
ausreichen,https://www.dwds.de/wb/ausreichen,Verb,,,0
ausrichten,https://www.dwds.de/wb/ausrichten,Verb,,,0
ausschließen,https://www.dwds.de/wb/ausschlie%C3%9Fen,Verb,,,0
ausschließlich,https://www.dwds.de/wb/ausschlie%C3%9Flich#2,Adverb,,,0
Aussprache,https://www.dwds.de/wb/Aussprache,Substantiv,fem.,die,0
ausstellen,https://www.dwds.de/wb/ausstellen,Verb,,,0
