lemma,Artikel,Plural,Präteritum,Hilfsverb,PartizipII,plus
ausgeliefert sein,,,,,,
ausgerechnet,,,,,,
ausgesprochen,,,,,,
ausgewechselt,,,,,,
ausgewogen,,,,,,
ausgezeichnet,,,,,,für plus Akk
Ausgrenzung,die,-en,,,,
aushalten,,,hielt aus,hat,ausgehalten,
auskommen,,,kam aus,ist,ausgekommen,
Auskunft,die,"""-e",,,,
Ausländerquote,die,-n,,,,
Auslandsaufenthalt,der,-e,,,,
Auslandserfahrung,die,-en,,,,
Auslandssemester,das,-,,,,
ausleihen,,,lieh aus,hat,ausgeliehen,
auslöschen,,,,,,
auslösen,,,,,,
ausmachen,,,,,,
ausmachen,,,,,,
ausmachen,,,,,,
ausmalen,,,,,,
ausprobieren,,,,,,
ausrauben,,,,,,
ausräumen,,,,,,
ausreichen,,,,,,
ausreichend,,,,,,
Ausreise,die,-n,,,,
Ausreisekontrolle,die,-n,,,,
ausreisen,,,,,,
ausrichten,,,,,,
aussagekräftig,,,,,,
ausschlafen,,,schlief aus,hat,ausgeschlafen,
Außenseiter/in,der/die,-/-nen,,,,
äußere,,,,,,
außergewöhnlich,,,,,,
äußerst,,,,,,
Aussicht,die,-en,,,,
Aussteller/in,der/die,-/-nen,,,,
aussterben,,,starb aus,ist,ausgestorben,
ausstrecken,,,,,,
Austausch,der,Sg.,,,,
austeilen,,,,,,
ausüben,,,,,,
ausverkauft,,,,,,
auswandern,,,,,,nach plus Dat
Ausweg,der,-e,,,,
Ausweis,der,-e,,,,
auswendig lernen,,,,,,
auswerten,,,,,,
Auswirkung,die,-en,,,,
auszahlen,,,,,,
auszeichnen,,,,,,
Auszeit,die,-en,,,,
Autofahrer/in,der/die,-/-nen,,,,
Automobilhersteller,der,-,,,,
Autor/in,der/die,-en/-nen,,,,
avancieren,,,,,,zu plus Dat
Bachelor,der,Sg.,,,,
Bachelorarbeit,die,-en,,,,
Badesee,der,-n,,,,
Bahn,die,-en,,,,
Bakterie,die,-n,,,,
Balance,die,-n,,,,
Bammel,der,Sg.,,,,
Bande,die,-n,,,,
bang,,,,,,
Bank,die,"""-e",,,,
Banklehre,die,-n,,,,
bankrott,,,,,,
Banktresor,der,-e,,,,
basieren,,,,,,auf plus Dat
Basis,die,Basen,,,,
Bauarbeiter/in,der/die,-/-nen,,,,
Bauch,der,"""-e",,,,
bauen,,,,,,
baumbeschattet,,,,,,
Baumwolle,die,Sg.,,,,
Bauwagen,der,-,,,,
Bauwerk,das,-e,,,,
Bauzeichner/in,der/die,-/-nen,,,,
Beachtung,die,-en,,,,
beantragen,,,,,,
Becher,der,-,,,,
Bedarf,,,,,,an plus Dat
bedecken,,,,,,
bedenken,,,bedachte,hat,bedacht,
bedeutend,,,,,,
Bedeutungsnuance,die,-n,,,,
Bedeutungsverlust,der,-e,,,,
bedroht,,,,,,
Bedürfnis,das,,,,,nach plus Dat
bedürftig,,,,,,nach plus Dat
Bedürftige,der/die,-n,,,,
beerdigen,,,,,,
befassen,,,,,,mit plus Dat
Befehl,der,-e,,,,
befehlen,,,befahl,hat,befohlen,
Befinden,das,Sg.,,,,
Befragte,der/die,-n,,,,
befürworten,,,,,,
Begabung,die,-en,,,,
begeben,,,,,,auf plus Akk
begegnen,,,,,,
begehrt,,,,,,bei plus Dat
Begleiter/in,der/die,-/-nen,,,,
begreifen,,,begriff,hat,begriffen,
begründen,,,,,,
Behandlungsmöglichkeit,die,-en,,,,
behaupten,,,,,,
beherrschen,,,,,,
Behinderung,die,-en,,,,
beibringen,,,brachte bei,hat,beigebracht,
Bein,das,-e,,,,
Beitrag,der,"""-e",,,,
beitragen,,,,,,zu plus Dat
beitreten,,,trat bei,ist,beigetreten,
Bekanntmachung,die,-en,,,,
Bekanntschaft,die,-en,,,,
Bekleidung,die,-en,,,,
beladen,,,belud,hat,beladen,
Belastung,die,-en,,,,
Beleg,der,-e,,,,
beleuchten,,,,,,
bemerkenswert,,,,,,
bemühen,,,,,,um plus Akk
benachrichtigen,,,,,,
benachteiligt,,,,,,gegenüber plus Dat
Benehmen,das,Sg.,,,,
benehmen,,,,,,
benennen,,,benannte,hat,benannt,
Benutzerkonto,das,-konten,,,,
Benzinmotor,der,-en,,,,
Bequemlichkeit,die,-en,,,,
Berater/in,der/die,-/-nen,,,,
Beratungsagentur,die,-en,,,,
bereiten,,,,,,
Bereitschaft,die,,,,,zu plus Dat
bereuen,,,,,,
berücksichtigen,,,,,,
Berufsanfänger/in,der/die,-/-nen,,,,
Berufsausbildung,die,-en,,,,
Berufsbereich,der,-e,,,,
Berufsentscheidung,die,-en,,,,
Berufserfahrung,die,-en,,,,
Berufsschule,die,-n,,,,
Berufswelt,die,Sg.,,,,
Berufswunsch,der,"""-e",,,,
beruhigend,,,,,,
berühren,,,,,,
besagen,,,,,,
Besatzungszone,die,-n,,,,
beschädigen,,,,,,
beschäftigen,,,,,,mit plus Dat
beschäftigen,,,,,,
beschäftigen,,,,,,
Beschäftigte,der/die,-n,,,,
Bescheid,der,-e,,,,
beschränken,,,,,,
beschriften,,,,,,
Beschwerdebrief,der,-e,,,,
beschweren,,,,,,
beseelt,,,,,,von plus Dat
besehen,,,,,,
besetzen,,,,,,
Besitzer/in,der/die,-/-nen,,,,
besorgt,,,,,,um plus Akk
Besprechung,die,-en,,,,
Besprechung,die,-en,,,,
Besprechungstermin,der,-e,,,,
Bestandteil,der,-e,,,,
bestechend,,,,,,
bestehen,,,bestand,hat,bestanden,
besteigen,,,bestieg,hat,bestiegen,
Bestellformular,das,-e,,,,
Bestellung,die,-en,,,,
Bestellvorgang,der,"""-e",,,,
bestimmen,,,,,,
bestmöglich,,,,,,
Bestseller-Liste,die,-n,,,,
Besucherzelle,die,-n,,,,
Beteiligung,die,-en,,,,an plus Dat
betonen,,,,,,
Betonung,die,-en,,,,
Betracht,,Sg.,,,,
Betrachter/in,der/die,-/-nen,,,,
betreffen,,,betraf,hat,betroffen,
Betreffzeile,die,-n,,,,
betreiben,,,betrieb,hat,betrieben,
Betreiber/in,der/die,-/-nen,,,,
betreten,,,betrat,hat,betreten,
betreuen,,,,,,
Betreuung,die,-en,,,,
Betriebswirtschaft,die,-en,,,,
betroffen,,,,,,
Betroffene,der/die,-n,,,,
Bettflüchter,der,-,,,,
Bettzeug,das,-e,,,,
Bevölkerungswachstum,das,Sg.,,,,
bewachen,,,,,,
Bewachung,die,-en,,,,
bewältigen,,,,,,
Bewegungsstörung,die,-en,,,,
Bewerber/in,der/die,-/-nen,,,,
Bewerbungsbrief,der,-e,,,,
Bewerbungsschreiben,das,-,,,,
Bewerbungstrainer/in,der/die,-/-nen,,,,
Bewertung,die,-en,,,,
bewirken,,,,,,
Bewunderer/Bewunderin,der/die,-/-nen,,,,
bewusst,,,,,,
bewusst,,,,,,
bewusst,,,,,,
Bezug,der,"""-e",,,,
Bibliothekar/in,der/die,-e/-nen,,,,
Bildungsabschluss,der,"""-e",,,,
Bildungschance,die,-n,,,,
Bildungserfolg,der,-e,,,,
Bildungserwartung,die,-en,,,,
bilingual,,,,,,
Billiglohnland,das,"""-er",,,,
Biobaumwolltasche,die,-,,,,
bisherig,,,,,,
blamieren,,,,,,vor plus Dat
Blaumann,der,"""-er",,,,
Blei,das,-e,,,,
bleiben,,,blieb,ist,geblieben,
blitzen,,,,,,
Blog,der,-s,,,,
Blogger/in,der/die,-/-nen,,,,
Blutdruck,der,Sg.,,,,
Bluthochdruck,der,Sg.,,,,
Blutwert,der,-e,,,,
